Company,Ticker,Date,Segement,Call,Price
Pure Storage (PSTG),PSTG,4/29/2016,Lightning Round ,Negative Mention ,14.55
Lockheed Martin (LMT),LMT,4/29/2016,Lightning Round ,Buy Recommendations ,232.38
Hain Celestial Group (HAIN),HAIN,4/29/2016,Lightning Round ,Negative Mention ,41.86
General Dynamics (GD),GD,4/29/2016,Lightning Round ,Positive Mention ,140.52
Equinix (EQIX),EQIX,4/29/2016,Lightning Round ,Buy Recommendations ,330.35
Denny's (DENN),DENN,4/29/2016,Discussed Stock,Negative Mention ,9.89
CVS Health (CVS),CVS,4/29/2016,Discussed Stock,Positive Mention ,100.5
Columbia Sportswear (COLM),COLM,4/29/2016,Guest Interview ,Buy Recommendations ,58.57
Cummins (CMI),CMI,4/29/2016,Discussed Stock,Positive Mention ,117.03
Clorox (CLX),CLX,4/29/2016,Discussed Stock,Negative Mention ,125.23
The Blackstone Group (BX),BX,4/29/2016,Lightning Round ,Buy Recommendations ,27.44
Activision Blizzard (ATVI),ATVI,4/29/2016,Discussed Stock,Buy Recommendations ,34.47
Anadarko Petroleum (APC),APC,4/29/2016,Discussed Stock,Positive Mention ,52.76
Amazon (AMZN),AMZN,4/29/2016,Featured Stock,Buy Recommendations ,659.59
American Tower (AMT),AMT,4/29/2016,Lightning Round ,Buy Recommendations ,104.88
American Electric Power (AEP),AEP,4/29/2016,Guest Interview ,Buy Recommendations ,63.5
Xerox (XRX),XRX,5/2/2016,Lightning Round ,Buy Recommendations ,9.65
Exxon Mobil (XOM),XOM,5/2/2016,Lightning Round ,Buy Recommendations ,89.13
Whiting Petroleum (WLL),WLL,5/2/2016,Lightning Round ,Sell Recommendations ,10.79
Sherwin-Williams (SHW),SHW,5/2/2016,Lightning Round ,Buy Recommendations ,289.51
Occidental Petroleum (OXY),OXY,5/2/2016,Lightning Round ,Buy Recommendations ,76.33
Newell Brands (NWL),NWL,5/2/2016,Guest Interview ,Buy Recommendations ,47.18
Annaly Capital (NLY),NLY,5/2/2016,Lightning Round ,Positive Mention ,10.41
Intra-Cellular Therapies (ITCI),ITCI,5/2/2016,Lightning Round ,Sell Recommendations ,35.08
International Paper (IP),IP,5/2/2016,Guest Interview ,Buy Recommendations ,43.46
IBM (IBM),IBM,5/2/2016,Discussed Stock,Positive Mention ,145.27
Discover Financial Servic (DFS),DFS,5/2/2016,Lightning Round ,Buy Recommendations ,56.4
3D Systems (DDD),DDD,5/2/2016,Lightning Round ,Negative Mention ,16.58
Chevron (CVX),CVX,5/2/2016,Lightning Round ,Buy Recommendations ,103.31
Amazon (AMZN),AMZN,5/2/2016,Discussed Stock,Positive Mention ,683.85
Ambarella (AMBA),AMBA,5/2/2016,Lightning Round ,Sell Recommendations ,40.4
Apple (AAPL),AAPL,5/2/2016,Guest Interview ,Buy Recommendations ,93.64
Valeant Pharmaceuticals (VRX),VRX,5/3/2016,Discussed Stock,Buy Recommendations ,35.79
Union Pacific (UNP),UNP,5/3/2016,Lightning Round ,Buy Recommendations ,86.77
Treehouse Foods (THS),THS,5/3/2016,Lightning Round ,Buy Recommendations ,86.67
Tallgrass Energy Partners (TEP),TEP,5/3/2016,Lightning Round ,Sell Recommendations ,43.68
Seagate Technology (STX),STX,5/3/2016,Lightning Round ,Sell Recommendations ,19.44
Starbucks (SBUX),SBUX,5/3/2016,Lightning Round ,Buy Recommendations ,56.25
Pfizer (PFE),PFE,5/3/2016,Discussed Stock,Buy Recommendations ,33.7
Occidental Petroleum (OXY),OXY,5/3/2016,Lightning Round ,Buy Recommendations ,75.57
Norfolk Southern (NSC),NSC,5/3/2016,Lightning Round ,Positive Mention ,89.14
Netflix (NFLX),NFLX,5/3/2016,Discussed Stock,Buy Recommendations ,91.54
Blackhawk Network (HAWK),HAWK,5/3/2016,Guest Interview ,Positive Mention ,31.99
DineEquity (DIN),DIN,5/3/2016,Lightning Round ,Negative Mention ,85.64
Cypress Semiconductor (CY),CY,5/3/2016,Guest Interview ,Buy Recommendations ,9.44
CVS Health (CVS),CVS,5/3/2016,Discussed Stock,Buy Recommendations ,103.92
CSX (CSX),CSX,5/3/2016,Lightning Round ,Sell Recommendations ,26.54
Costco (COST),COST,5/3/2016,Discussed Stock,Buy Recommendations ,151.41
CoreSite Realty (COR),COR,5/3/2016,Lightning Round ,Positive Mention ,77.54
Chipotle Mexican Grill (CMG),CMG,5/3/2016,Discussed Stock,Buy Recommendations ,437.95
Clorox (CLX),CLX,5/3/2016,Discussed Stock,Buy Recommendations ,129.43
Chesapeake Energy (CHK),CHK,5/3/2016,Lightning Round ,Negative Mention ,5.8
Bank of Internet (BOFI),BOFI,5/3/2016,Lightning Round ,Sell Recommendations ,19.34
Amazon (AMZN),AMZN,5/3/2016,Discussed Stock,Buy Recommendations ,671.32
Apple (AAPL),AAPL,5/3/2016,Guest Interview ,Buy Recommendations ,95.18
Time Warner (TWX),TWX,5/4/2016,Discussed Stock,Positive Mention ,74.8
LendingTree (TREE),TREE,5/4/2016,Lightning Round ,Buy Recommendations ,82.62
Smith & Wesson (SWHC),SWHC,5/4/2016,Lightning Round ,Negative Mention ,22.66
Extended Stay America (STAY),STAY,5/4/2016,Lightning Round ,Negative Mention ,15.24
Square (SQ),SQ,5/4/2016,Lightning Round ,Negative Mention ,13.39
Ruckus Wireless (RKUS),RKUS,5/4/2016,Lightning Round ,Sell Recommendations ,12.54
ServiceNow (NOW),NOW,5/4/2016,Guest Interview ,Buy Recommendations ,67.61
McDonald's (MCD),MCD,5/4/2016,Discussed Stock,Buy Recommendations ,129.33
Kinder Morgan (KMI),KMI,5/4/2016,Lightning Round ,Sell Recommendations ,17.15
Johnson & Johnson (JNJ),JNJ,5/4/2016,Discussed Stock,Buy Recommendations ,112.22
Inovio Pharmaceutical (INO),INO,5/4/2016,Lightning Round ,Positive Mention ,9.39
Hain Celestial Group (HAIN),HAIN,5/4/2016,Guest Interview ,Buy Recommendations ,44.89
Clorox (CLX),CLX,5/4/2016,Discussed Stock,Buy Recommendations ,129.25
CBS Corp (CBS),CBS,5/4/2016,Discussed Stock,Buy Recommendations ,56.53
Bojangles (BOJA),BOJA,5/4/2016,Lightning Round ,Buy Recommendations ,17.56
Baidu.com (BIDU),BIDU,5/4/2016,Lightning Round ,Sell Recommendations ,177.28
